"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,0,4.41,"ya, currently-reading",currently-reading,42,
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,5,4.36,ya,read,100,
Bunny,Mona Awad,0,3.56,"to-read, fiction",to-read,0,
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4,4.24,ya,read,100,
Romantic Comedy,Curtis Sittenfeld,0,3.91,"to-read, chick-lit",to-read,0,
"Climate Change Is Racist: Race, Privilege and the Struggle for Climate Justice",Jeremy    Williams,0,4.29,"to-read, theory",to-read,0,
"Love, Theoretically",Ali Hazelwood,0,4.23,"to-read, chick-lit",to-read,0,
"Dial A for Aunties (Aunties, #1)",Jesse Q. Sutanto,0,3.74,"to-read, chick-lit",to-read,0,
It's Kind of a Funny Story,Ned Vizzini,0,4.09,"to-read, ya",to-read,0,
"Red, White & Royal Blue",Casey McQuiston,0,4.12,"to-read, queer",to-read,0,
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,0,3.97,"to-read, queer",to-read,0,
Turtles All the Way Down,John Green,0,3.9,"to-read, ya",to-read,0,
The Color Purple,Alice Walker,0,4.26,"to-read, classic",to-read,0,
The Joy Luck Club,Amy Tan,0,3.95,"to-read, classic",to-read,0,
The Love Hypothesis,Ali Hazelwood,0,4.21,"to-read, chick-lit",to-read,0,
"Love & Gelato (Love & Gelato, #1)",Jenna Evans Welch,0,4.08,"to-read, ya",to-read,0,
Seeing Other People,Diana Reid,0,3.5,"to-read, queer",to-read,0,
They Hate Each Other,Amanda Woody,0,4.4,"to-read, queer",to-read,0,
This Is Where It Ends,Marieke Nijkamp,0,3.69,"to-read, queer",to-read,0,
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,0,4.12,"to-read, queer",to-read,0,
Laziness Does Not Exist,Devon Price,0,3.98,"to-read, personal-growth",to-read,0,
